framework,category,tenant_model_fit,requirements,verification_method,web_queries,related_patterns,control_count,certification_body,audit_frequency,tenant_impact
SOC2,security,"row-level-security;schema-per-tenant;database-per-tenant","CC1-Common Criteria Organization;CC2-Communication;CC3-Risk Assessment;CC4-Monitoring;CC5-Control Activities;CC6-Logical Access;CC7-System Operations;CC8-Change Management;CC9-Risk Mitigation;A1-Availability;C1-Confidentiality;PI1-Processing Integrity;P1-Privacy","Type I point-in-time;Type II 6-12 month period;SOC 2+ with additional criteria",SOC2 SaaS compliance {date};SOC2 multi-tenant requirements {date};SOC2 Type II preparation {date},"audit-logging-patterns;encryption-patterns;sso-integration-patterns;change-management-patterns",64+ trust criteria,AICPA-accredited CPAs,Annual Type II,All tiers require SOC2 compliance evidence
GDPR,privacy,"row-level-security;schema-per-tenant;database-per-tenant","Art 5-Processing Principles;Art 6-Lawful Basis;Art 7-Consent Conditions;Art 12-14-Transparency;Art 15-Right of Access;Art 16-Right to Rectification;Art 17-Right to Erasure;Art 18-Right to Restriction;Art 20-Data Portability;Art 21-Right to Object;Art 22-Automated Decision Making;Art 25-Data Protection by Design;Art 32-Security Measures;Art 33-Breach Notification 72hrs;Art 35-DPIA Required","DPIA documentation;DPO appointment verification;consent audit;data mapping;breach notification testing;cross-border transfer assessment",GDPR SaaS compliance {date};GDPR multi-tenant data isolation {date};GDPR data subject rights implementation {date},"data-sovereignty-patterns;tenant-offboarding-patterns;audit-logging-patterns;consent-management-patterns",99 articles,National DPAs,Continuous + complaint-driven,EU tenants require full compliance; data localization options for Enterprise
HIPAA,healthcare,"schema-per-tenant;database-per-tenant","164.302-Administrative Safeguards;164.310-Physical Safeguards;164.312-Technical Safeguards;164.314-Organizational Requirements;164.316-Policies and Procedures;164.308a1-Security Management;164.308a3-Workforce Security;164.308a4-Access Management;164.308a5-Security Awareness;164.308a6-Incident Procedures;164.308a7-Contingency Plan;164.308a8-Evaluation;164.312a-Access Control;164.312b-Audit Controls;164.312c-Integrity;164.312d-Authentication;164.312e-Transmission Security","Security Risk Assessment;BAA execution verification;PHI inventory;access audit;encryption verification;incident response testing",HIPAA SaaS compliance {date};HIPAA multi-tenant architecture {date};HIPAA BAA requirements {date},"encryption-patterns;audit-logging-patterns;tenant-isolation;access-control-patterns",54 standards,HHS OCR,Annual risk assessment + complaint-driven,Healthcare tenants require BAA; PHI isolation mandatory; database-per-tenant recommended
PCI-DSS,payment,"schema-per-tenant;database-per-tenant","Req1-Network Security;Req2-Secure Configuration;Req3-Protect Stored Data;Req4-Encrypt Transmission;Req5-Anti-Malware;Req6-Secure Development;Req7-Access Restriction;Req8-User Authentication;Req9-Physical Access;Req10-Logging and Monitoring;Req11-Security Testing;Req12-Security Policies","SAQ completion;ASV quarterly scan;annual penetration test;QSA assessment for Level 1;network segmentation testing",PCI-DSS SaaS compliance {date};PCI multi-tenant requirements {date};PCI-DSS v4.0 changes {date},"encryption-patterns;network-security-patterns;audit-logging-patterns;key-management-patterns",250+ sub-requirements,PCI SSC QSAs,Quarterly scans + annual assessment,Payment processing tenants require PCI scope; network segmentation per tenant recommended
ISO27001,security,"row-level-security;schema-per-tenant;database-per-tenant","A5-Information Security Policies;A6-Organization of InfoSec;A7-Human Resources Security;A8-Asset Management;A9-Access Control;A10-Cryptography;A11-Physical Security;A12-Operations Security;A13-Communications Security;A14-System Development;A15-Supplier Relations;A16-Incident Management;A17-Business Continuity;A18-Compliance;Annex A-93 controls across 14 domains","Stage 1 documentation review;Stage 2 implementation audit;annual surveillance audit;3-year recertification",ISO27001 SaaS compliance {date};ISO27001 controls {date};ISO27001 2022 update requirements {date},"all-security-patterns;risk-management-patterns;isms-patterns;supplier-security-patterns",93 Annex A controls,Accredited certification bodies,Annual surveillance + 3-year recert,Enterprise tenants may require ISO27001 certification evidence; enables other framework mapping
EU-AI-Act,ai,"row-level-security;schema-per-tenant;database-per-tenant","Art 6-Classification Rules;Art 9-Risk Management System;Art 10-Data Governance;Art 11-Technical Documentation;Art 12-Record Keeping;Art 13-Transparency;Art 14-Human Oversight;Art 15-Accuracy and Robustness;Art 16-CE Conformity;Art 17-Quality Management;Art 26-Obligations of Deployers;Art 50-Transparency for GPAI;Art 52-Transparency for Users;Annex III-High Risk Categories;Annex IV-Technical Documentation","Self-assessment for limited risk;conformity assessment for high risk;third-party audit for high risk in Annex III;GPAI model evaluation;transparency documentation review",EU AI Act compliance {date};AI Act SaaS requirements {date};EU AI Act high risk classification {date};GPAI compliance requirements {date},"ai-transparency-patterns;human-oversight-patterns;ai-documentation-patterns;ai-risk-management-patterns",85 articles + 13 annexes,Notified Bodies for high risk,Pre-market + continuous monitoring,All AI features require risk classification; high-risk features need conformity assessment; transparency labeling for all AI outputs
NIST-CSF-2.0,cybersecurity,"row-level-security;schema-per-tenant;database-per-tenant","GV-Govern Function;GV.OC-Organizational Context;GV.RM-Risk Management Strategy;GV.RR-Roles Responsibilities;GV.PO-Policy;GV.OV-Oversight;GV.SC-Supply Chain;ID-Identify Function;ID.AM-Asset Management;ID.RA-Risk Assessment;ID.IM-Improvement;PR-Protect Function;PR.AA-Access Control;PR.AT-Awareness Training;PR.DS-Data Security;PR.PS-Platform Security;PR.IR-Technology Resiltic;DE-Detect Function;DE.AE-Adverse Event Analysis;DE.CM-Continuous Monitoring;RS-Respond Function;RS.MA-Incident Management;RS.AN-Incident Analysis;RS.CO-Incident Communications;RS.MI-Incident Mitigation;RC-Recover Function;RC.RP-Recovery Planning;RC.CO-Recovery Communications","NIST CSF self-assessment;maturity model evaluation;implementation tier assessment;profile creation and gap analysis",NIST CSF 2.0 implementation {date};NIST cybersecurity framework SaaS {date};CSF 2.0 Govern function {date},"all-security-patterns;risk-management-patterns;incident-response-patterns;supply-chain-patterns",6 functions 22 categories 106 subcategories,Self-assessment or 3rd party,Annual assessment recommended,Provides framework for mapping to other standards; US government and critical infrastructure focus
SOX,financial,"schema-per-tenant;database-per-tenant","Section 302-CEO/CFO Certification;Section 404-Internal Control Assessment;Section 409-Real-time Disclosure;COSO Framework-Control Environment;COSO-Risk Assessment;COSO-Control Activities;COSO-Information Communication;COSO-Monitoring;ITGC-Access Controls;ITGC-Change Management;ITGC-Computer Operations;ITGC-Program Development","External auditor attestation;internal control testing;control deficiency remediation;material weakness assessment",SOX SaaS compliance {date};SOX IT controls {date};SOX ITGC requirements {date},"audit-logging-patterns;change-management-patterns;access-control-patterns;financial-controls-patterns",100+ ITGCs typically,PCAOB-registered auditors,Annual,Public company tenants require SOX compliance; financial data segregation critical
FedRAMP,government,database-per-tenant,"AC-Access Control 25 controls;AT-Awareness Training 6 controls;AU-Audit 16 controls;CA-Assessment 9 controls;CM-Configuration 11 controls;CP-Contingency 13 controls;IA-Identification 12 controls;IR-Incident Response 10 controls;MA-Maintenance 6 controls;MP-Media Protection 8 controls;PE-Physical 20 controls;PL-Planning 9 controls;PM-Program Management 16 controls;PS-Personnel 9 controls;PT-PII Processing 8 controls;RA-Risk Assessment 9 controls;SA-System Acquisition 22 controls;SC-System Communications 44 controls;SI-System Information 20 controls;SR-Supply Chain 12 controls","3PAO assessment;agency authorization;continuous monitoring;annual assessment;incident reporting;POA&M tracking",FedRAMP SaaS compliance {date};FedRAMP multi-tenant {date};FedRAMP High baseline requirements {date},"all-security-patterns;government-compliance-patterns;continuous-monitoring-patterns",Low:125 Moderate:325 High:421 controls,FedRAMP PMO + Agencies,Continuous + annual assessment,US government tenants require FedRAMP authorization; database-per-tenant for High baseline
CCPA,privacy,"row-level-security;schema-per-tenant;database-per-tenant","1798.100-Right to Know;1798.105-Right to Delete;1798.106-Right to Correct;1798.110-Categories Disclosure;1798.115-Sale/Sharing Disclosure;1798.120-Right to Opt-Out;1798.121-Limit Sensitive PII;1798.125-Non-Discrimination;1798.130-Notice Requirements;1798.135-Opt-Out Links;1798.140-Definitions;1798.145-Exemptions;1798.185-Regulations","Privacy notice audit;opt-out mechanism testing;data inventory verification;consumer request workflow testing;sale/sharing assessment",{date} CCPA compliance SaaS;{date} California privacy requirements;CPRA amendments {date},"data-sovereignty-patterns;tenant-offboarding-patterns;audit-logging-patterns;consumer-rights-patterns",12 core sections,California AG + CPPA,Continuous + complaint-driven,California consumer tenants require CCPA compliance; 45-day response SLA for requests
NIST-800-53,security,database-per-tenant,"AC-Access Control 25 controls;AT-Awareness 6 controls;AU-Audit 16 controls;CA-Assessment 9 controls;CM-Configuration 11 controls;CP-Contingency 13 controls;IA-Identification 12 controls;IR-Incident 10 controls;MA-Maintenance 6 controls;MP-Media 8 controls;PE-Physical 20 controls;PL-Planning 9 controls;PM-Program 16 controls;PS-Personnel 9 controls;PT-PII 8 controls;RA-Risk 9 controls;SA-Acquisition 22 controls;SC-System 44 controls;SI-Information 20 controls;SR-Supply Chain 12 controls","control assessment;security audit;continuous monitoring;authorization decision","NIST 800-53 implementation {date};federal security controls SaaS {date};NIST 800-53 rev 5 changes {date}","all-security-patterns;government-compliance-patterns;audit-logging-patterns;access-control-patterns",Low:137 Moderate:276 High:403 controls,Agency AOs,Continuous + 3-year reauthorization,Federal agency tenants require 800-53 compliance; basis for FedRAMP
CMMC,security,"schema-per-tenant;database-per-tenant","Level 1-17 practices FAR;Level 2-110 practices NIST 800-171;Level 3-additional NIST 800-172;AC-Access Control;AT-Awareness Training;AU-Audit;CA-Assessment;CM-Configuration;IA-Identification;IR-Incident Response;MA-Maintenance;MP-Media Protection;PE-Physical Protection;PS-Personnel Security;RA-Risk Assessment;SC-System Communications;SI-System Information","Level 1 self-assessment;Level 2 C3PAO assessment;Level 3 government-led assessment;POA&M tracking",{date} CMMC compliance requirements;CMMC 2.0 requirements {date};CMMC Level 2 assessment {date},"encryption-patterns;audit-logging-patterns;access-control-patterns;cui-protection-patterns",Level 1:17 Level 2:110 Level 3:130+ practices,C3PAOs + DIBCAC,Annual for Level 2-3,Defense contractor tenants require CMMC; CUI handling requires Level 2+
DORA,resilience,"row-level-security;schema-per-tenant;database-per-tenant","Art 5-9 ICT Risk Management;Art 10-Simplified Framework;Art 11-Response Recovery;Art 12-Backup Policies;Art 13-Learning;Art 14-Communication;Art 15-ICT Dependencies;Art 16-Classification;Art 17-Major Incidents;Art 18-Harmonized Reporting;Art 19-21 ICT Reporting;Art 23-TLPT;Art 24-Requirements;Art 25-Testing Tools;Art 26-27 TLPT;Art 28-30 Third Party Risk;Art 31-45 Oversight Framework","ICT risk management documentation;incident classification testing;TLPT execution;third-party register maintenance;information sharing participation",{date} DORA compliance SaaS;DORA ICT risk management {date};DORA third party oversight {date},"disaster-recovery;incident-response-patterns;resilience-patterns;third-party-risk-patterns",55 articles + 13 RTS/ITS,National Competent Authorities,Continuous + incident-driven,EU financial sector tenants require DORA compliance effective Jan 2025; ICT provider oversight
NIS2,security,"schema-per-tenant;database-per-tenant","Art 21-Risk Management Measures;Art 21a-Policies;Art 21b-Incident Handling;Art 21c-Business Continuity;Art 21d-Supply Chain Security;Art 21e-Network Security;Art 21f-Vulnerability Handling;Art 21g-Assessment;Art 21h-Cryptography;Art 21i-HR Security;Art 21j-Access Control;Art 23-Reporting 24/72hr;Art 24-Use of Schemes;Art 25-Standardization;Art 26-Enforcement","Self-assessment compliance;incident reporting testing;supply chain assessment;security measure documentation;certification scheme compliance",{date} NIS2 directive compliance;NIS2 essential entities {date};NIS2 incident reporting {date},"all-security-patterns;incident-response-patterns;supply-chain-patterns;critical-infrastructure-patterns",10 security measures + reporting,National CSIRTs + authorities,Continuous + incident-driven,EU essential/important entity tenants require NIS2 compliance; 24/72hr incident reporting
CSA-STAR,cloud,"row-level-security;schema-per-tenant;database-per-tenant","CCM v4-17 domains;AIS-Application Security;BCR-Business Continuity;CCC-Change Control;CEK-Cryptography;DCS-Datacenter Security;DSP-Data Security;GRC-Governance;HRS-Human Resources;IAM-Identity Management;IPY-Interoperability;IVS-Infrastructure;LOG-Logging;SEF-Security;STA-Supply Chain;TVM-Threat Vulnerability;UEM-Endpoint","Level 1 Self-Assessment CAIQ;Level 2 Third-Party Audit;Continuous C-STAR monitoring;CCM control mapping;CAIQ questionnaire completion",{date} CSA STAR certification;CSA CCM v4 {date};CSA STAR Level 2 audit {date},"cloud-security-patterns;compliance;transparency-patterns;multi-cloud-patterns",197 controls in CCM v4,CSA-approved auditors,Level 1 annual; Level 2 annual,Cloud-aware compliance framework; maps to other frameworks; tenant due diligence support
CIS-Controls,security,"row-level-security;schema-per-tenant;database-per-tenant","CIS Control 1-Enterprise Asset Inventory;CIS Control 2-Software Asset Inventory;CIS Control 3-Data Protection;CIS Control 4-Secure Configuration;CIS Control 5-Account Management;CIS Control 6-Access Control;CIS Control 7-Vulnerability Management;CIS Control 8-Audit Log Management;CIS Control 9-Email Web Protection;CIS Control 10-Malware Defense;CIS Control 11-Data Recovery;CIS Control 12-Network Infrastructure;CIS Control 13-Network Monitoring;CIS Control 14-Security Training;CIS Control 15-Service Provider;CIS Control 16-Application Security;CIS Control 17-Incident Response;CIS Control 18-Penetration Testing","CIS-CAT Pro scanning;implementation group assessment;safeguard implementation verification;benchmark compliance scanning",{date} CIS controls implementation;CIS Controls v8 IG2 {date};CIS benchmarks automation {date},"all-security-patterns;hardening-patterns;monitoring-patterns;asset-management-patterns",18 controls 153 safeguards,Self-assessment + CIS tools,Continuous scanning + periodic assessment,Practical security controls; IG1=basic IG2=standard IG3=advanced; good starting point for security program
ISO27701,privacy,"row-level-security;schema-per-tenant;database-per-tenant","PIMS extension to ISO27001;Privacy Information Management;Clause 5-Context;Clause 6-Leadership;Clause 7-Planning;Clause 8-Support;Annex A-PII Controllers;Annex B-PII Processors","ISO27001 certification required;PIMS gap assessment;privacy controls implementation;third-party audit",ISO27701 SaaS compliance {date},"privacy-patterns;data-protection-patterns;gdpr-alignment-patterns",49 additional controls,Accredited certification bodies,Annual surveillance + 3-year recert,GDPR alignment framework; extends ISO27001; privacy-specific controls for PII processing
ISO42001,ai,"row-level-security;schema-per-tenant;database-per-tenant","AI Management System;Clause 4-Context;Clause 5-Leadership AI Policy;Clause 6-Planning AI Risks;Clause 7-Support;Clause 8-Operation;Clause 9-Evaluation;Clause 10-Improvement;Annex A-AI Controls;Annex B-Implementation Guidance","AIMS gap assessment;AI risk assessment;AI controls implementation;third-party certification audit",ISO42001 AI management system {date},"ai-governance-patterns;ai-risk-patterns;ai-transparency-patterns",38 controls in Annex A,Accredited certification bodies,Annual surveillance + 3-year recert,First international AI management system standard; AI governance and responsible AI development
TISAX,automotive,"schema-per-tenant;database-per-tenant","ISA-Information Security Assessment;VDA-ISA Catalog;Prototype Protection;Connection to Third Parties;Data Protection per GDPR;Assessment Levels AL1-AL3;Exchange Mechanisms","Self-assessment for AL1;remote assessment AL2;on-site assessment AL3;ENX portal registration",TISAX automotive compliance {date},"encryption-patterns;prototype-protection-patterns;supply-chain-patterns",VDA ISA catalog controls,ENX-approved auditors,3-year validity with annual reviews,German automotive industry standard; required for OEM suppliers; prototype and data protection focus
StateRAMP,government,"schema-per-tenant;database-per-tenant","FedRAMP-equivalent for state governments;Ready-Authorized-Verified status;Low-Moderate-High baselines;Continuous monitoring;Third-party assessment;StateRAMP PMO oversight","3PAO assessment;StateRAMP authorization;continuous monitoring;annual assessment",StateRAMP compliance {date},"government-compliance-patterns;continuous-monitoring-patterns;fedramp-equivalent-patterns",Low:125 Moderate:325 High:421 controls,StateRAMP PMO + States,Continuous + annual assessment,FedRAMP-equivalent for state and local governments; growing adoption across US states
TX-RAMP,government,"schema-per-tenant;database-per-tenant","Texas Risk and Authorization Management Program;DIR Certification;Level 1-Level 2 security;Texas-specific requirements;Continuous monitoring;Annual recertification","DIR application;security assessment;certification review;annual recertification",TX-RAMP requirements {date},"government-compliance-patterns;state-compliance-patterns;texas-specific-patterns",Level 1 and Level 2 controls,Texas DIR,Annual recertification,Texas-specific state security certification; required for Texas state agency cloud services
UK-GDPR,privacy,"row-level-security;schema-per-tenant;database-per-tenant","Post-Brexit UK GDPR;Data Protection Act 2018;ICO Oversight;Art 5-Processing Principles;Art 6-Lawful Basis;Art 15-22 Data Subject Rights;Art 32-Security;Art 33-Breach Notification;International Transfers","ICO registration;DPIA documentation;data mapping;breach notification testing;international transfer assessment",UK GDPR compliance {date},"data-sovereignty-patterns;privacy-patterns;ico-oversight-patterns",Equivalent to EU GDPR,ICO (Information Commissioner's Office),Continuous + complaint-driven,UK version of GDPR post-Brexit; ICO enforcement; adequacy decision allows EU data flows
LGPD,privacy,"row-level-security;schema-per-tenant;database-per-tenant","Brazil Lei Geral de Protecao de Dados;ANPD Oversight;Art 7-Legal Bases;Art 9-Consent;Art 18-Data Subject Rights;Art 46-Security Measures;Art 48-Breach Notification;Art 50-Good Practices","ANPD registration;DPO appointment;data mapping;consent audit;breach notification testing",LGPD Brazil compliance {date},"privacy-patterns;latam-compliance-patterns;data-protection-patterns",65 articles,ANPD (Autoridade Nacional de Protecao de Dados),Continuous + complaint-driven,Brazil's comprehensive data protection law; similar to GDPR; ANPD enforcement active since 2021
PDPA,privacy,"row-level-security;schema-per-tenant;database-per-tenant","Singapore Personal Data Protection Act;PDPC Oversight;Consent Obligation;Purpose Limitation;Notification Obligation;Access and Correction;Data Protection Provisions;Transfer Limitation;Data Breach Notification","PDPC registration;DPO appointment;data inventory;consent mechanisms;breach notification procedures",PDPA Singapore compliance {date},"privacy-patterns;apac-compliance-patterns;data-protection-patterns",11 main obligations,PDPC (Personal Data Protection Commission),Continuous + complaint-driven,Singapore's data protection framework; mandatory breach notification; DPO requirement for certain organizations
