module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs,keywords
bam,create-master-architecture,Create Master Architecture,CMAR,Create frozen master architecture with tenant model and module boundaries,run,,3-solutioning,,,true,{output_folder}/planning-artifacts,master-architecture.md,"architecture,design,foundation,platform,master"
bam,scaffold-foundation,Scaffold Foundation,SF,Scaffold foundation code via create-tenant-service,run,,3-solutioning,create-master-architecture,,false,{output_folder}/implementation-artifacts,foundation scaffold,"scaffold,code,bootstrap,foundation,setup"
bam,validate-foundation,Validate Foundation,VF,Validate foundation gate checklist,run,,3-solutioning,scaffold-foundation,,true,{output_folder}/planning-artifacts,foundation-gate-report.md,"validate,gate,checklist,foundation,quality"
bam,bmad-bam-tenant-model-isolation,Tenant Model Isolation,TMI,Design tenant isolation strategy with RLS policies,run,,3-solutioning,create-master-architecture,,true,{output_folder}/planning-artifacts,tenant-model.md,"tenant,isolation,rls,security,multitenancy"
bam,bmad-bam-module-boundary-design,Module Boundary Design,MBD,Design module boundaries and ownership,run,,3-solutioning,create-master-architecture,,true,{output_folder}/planning-artifacts,module-boundaries.md,"module,boundary,ownership,domain,separation"
bam,bmad-bam-tenant-aware-observability,Tenant-Aware Observability,TAO,Design tenant-aware observability and telemetry,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,observability-spec.md,"observability,telemetry,monitoring,logging,metrics"
bam,bmad-bam-usage-metering-design,Usage Metering Design,UMD,Design usage metering pipeline for billing,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,usage-metering.md,"metering,billing,usage,quota,consumption"
bam,bmad-bam-tenant-onboarding-design,Tenant Onboarding Design,TOD,Design tenant provisioning orchestration with tier-specific flows,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,onboarding-runbook.md,"onboarding,tenant,lifecycle,provisioning,setup"
bam,bmad-bam-tenant-offboarding-design,Tenant Offboarding Design,TOFD,Design GDPR-compliant tenant offboarding with data archival,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,offboarding-runbook.md,"offboarding,gdpr,archival,cleanup,deletion"
bam,bmad-bam-master-architecture-emergency-change,Master Architecture Emergency Change,MAEC,Emergency protocol for changing frozen master architecture,run,,3-solutioning,,,false,{output_folder}/architecture-docs,adr-emergency-change.md,"emergency,change,adr,protocol,hotfix"
bam,requirement-ingestion,Requirement Ingestion,RI,Decompose large feature catalogs into module definitions,run,,2-planning,,,false,{output_folder}/planning-artifacts,module-definitions.md,"requirements,decomposition,features,planning,analysis"
bam,triage-module-complexity,Triage Module Complexity,MCT,Classify module complexity using 8-question assessment,run,,2-planning,requirement-ingestion,,false,{output_folder}/planning-artifacts,complexity-triage.md,"complexity,assessment,triage,classification,scoring"
bam,bmad-bam-api-version-release,API Version Release,AVR,Release new REST API version with OpenAPI docs and migration guide,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,api-release-notes.md,"api,version,release,openapi,migration"
bam,create-module-architecture,Create Module Architecture,CMA,Design per-module architecture inheriting from master,run,,3-solutioning,validate-foundation,,true,{output_folder}/planning-artifacts,module-architecture.md,"module,architecture,design,inheritance,structure"
bam,create-module-epics,Create Module Epics,CME,Create epics and stories scoped to single module,run,,2-planning,create-module-architecture,,false,{output_folder}/planning-artifacts,module-epics.md,"epics,stories,backlog,planning,agile"
bam,validate-module,Validate Module,VM,Validate module architecture against master architecture,run,,3-solutioning,create-module-architecture,,true,{output_folder}/planning-artifacts,module-gate-report.md,"validate,module,gate,compliance,verification"
bam,define-facade-contract,Define Facade Contract,DFC,Define a new facade contract between modules,run,,3-solutioning,create-module-architecture,,false,{output_folder}/planning-artifacts,facade-contract.md,"facade,contract,interface,api,boundary"
bam,evolve-facade-contract,Evolve Facade Contract,EFC,Evolve existing facade contract with breaking changes,run,,3-solutioning,define-facade-contract,,false,{output_folder}/planning-artifacts,facade-migration.md,"facade,evolution,breaking,migration,versioning"
bam,facade-mismatch-recovery,Facade Mismatch Recovery,FMR,Recover from unplanned facade contract divergence,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,facade-recovery-plan.md,"facade,recovery,mismatch,divergence,fix"
bam,validate-tool-contract,Validate Tool Contract,VTC,Validate tool contract against ToolDefinition schema and QG-M3-TOOLS,run,,3-solutioning,,,false,{output_folder}/planning-artifacts,tool-validation-report.md,"tool,contract,validation,schema,quality"
bam,bmad-bam-internal-contract-design,Internal Contract Design,ICD,Design module facade contracts and event schemas,run,,3-solutioning,create-module-architecture,,false,{output_folder}/planning-artifacts,internal-contracts.md,"contract,internal,event,schema,interface"
bam,bmad-bam-cross-module-story,Cross Module Story,CMS,Decompose cross-module user journey into module-scoped tasks,run,,2-planning,create-module-architecture,,false,{output_folder}/planning-artifacts,cross-module-decomposition.md,"cross-module,journey,decomposition,coordination,tasks"
bam,bmad-bam-convergence-verification,Convergence Verification,CV,Verify cross-module integration before release,run,,4-implementation,,,true,{output_folder}/planning-artifacts,convergence-report.md,"convergence,integration,verification,release,quality"
bam,bmad-bam-agent-runtime-architecture,Agent Runtime Architecture,ARA,Design complete AI runtime architecture with LangGraph,run,,3-solutioning,validate-foundation,,false,{output_folder}/planning-artifacts,agent-runtime.md,"ai,agent,runtime,llm,orchestration"
bam,bmad-bam-ai-eval-safety-design,AI Eval Safety Design,AES,Design AI evaluation metrics and safety strategy,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,ai-safety-spec.md,"ai,evaluation,safety,metrics,guardrails"
bam,bmad-bam-ai-agent-debug,AI Agent Debug,AAD,Debug AI agent behavior during development,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,debug-session.md,"ai,debug,agent,troubleshoot,development"
bam,list-tools,List Tools,LT,List all registered AI tools with filtering,run,,anytime,,,false,{output_folder}/planning-artifacts,tool-registry.md,"tools,list,registry,inventory,catalog"
bam,bmad-bam-extend-project-context,Extend Project Context,EPC,Add BAM configuration section to project-context.md,run,,2-planning,,,false,{output_folder}/planning-artifacts,project-context.md,"context,configuration,setup,project,bam"
bam,bmad-bam-migrate-v2,BAM Migration v2,MV2,Migrate BAM from v1 (knowledge) to v2 (patterns),run,,anytime,,,false,{output_folder}/planning-artifacts,migration-report.md,"migration,upgrade,v2,patterns,convert"
bam,bmad-bam-validate-patterns,Validate Pattern Registry,VPR,Validate BAM pattern registry completeness and consistency,run,,anytime,,,false,{output_folder}/planning-artifacts,pattern-validation-report.md,"patterns,registry,validation,consistency,completeness"
bam,bmad-bam-compliance-design,Compliance Design,COMP,Design compliance controls for regulatory frameworks (SOC2 HIPAA GDPR),run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,compliance-design.md,"compliance,soc2,hipaa,gdpr,regulatory"
bam,bmad-bam-disaster-recovery-design,Disaster Recovery Design,DREC,Design tenant-aware disaster recovery and business continuity strategy,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts,disaster-recovery-plan.md,"disaster,recovery,backup,continuity,resilience"
bam,tenant-requirements-analysis,Tenant Requirements Analysis,TRAN,Analyze and document multi-tenant platform requirements from stakeholders,run,,1-discovery,,,false,{output_folder}/planning-artifacts,tenant-requirements.md,"requirements,analysis,stakeholder,discovery,multitenancy"
bam,bmad-bam-security-review,Security Review,SECR,Conduct security review of tenant isolation and data protection controls,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,security-review-report.md,"security,review,isolation,protection,audit"
bam,bmad-bam-tenant-data-migration,Tenant Data Migration,TDAM,Design tenant data migration strategy for onboarding or platform upgrades,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,data-migration-plan.md,"data,migration,tenant,transfer,upgrade"
bam,bmad-bam-tenant-incident-response,Tenant Incident Response,TINC,Design tenant-scoped incident response procedures and runbooks,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,incident-response-runbook.md,"incident,response,runbook,procedure,emergency"
bam,bmad-bam-tenant-tier-migration,Tenant Tier Migration,TTMG,Design procedures for migrating tenants between service tiers,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tier-migration-runbook.md,"tier,migration,upgrade,downgrade,subscription"
bam,bmad-bam-tenant-suspension-design,Tenant Suspension Design,TSD,Design tenant suspension and reactivation lifecycle with grace periods,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,suspension-runbook.md,"suspension,lifecycle,reactivation,grace,billing"
bam,bmad-bam-multi-region-architecture,Multi-Region Architecture,MRA,Design multi-region deployment for data residency and GDPR compliance,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts,multi-region-architecture.md,"region,gdpr,residency,failover,global"
bam,bmad-bam-tenant-portal-design,Tenant Portal Design,TPD,Design tenant self-service portal with admin features and billing,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-portal-design.md,"portal,self-service,admin,billing,ux"
bam,bmad-bam-tenant-data-export,Tenant Data Export,TDE,Design GDPR Article 20 data portability export with audit trail,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,data-export-design.md,"gdpr,export,portability,audit,compliance"
bam,bmad-bam-ai-security-testing,AI Security Testing,AST,Design and execute security testing for AI agents including prompt injection and adversarial attacks,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,ai-security-test-plan.md,"ai,security,testing,prompt-injection,adversarial"
bam,bmad-bam-compliance-continuous-verification,Compliance Continuous Verification,CCV,Design continuous compliance monitoring and automated verification for regulatory requirements,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,continuous-verification-design.md,"compliance,monitoring,verification,automation,audit"
bam,bmad-bam-tenant-api-key-management,Tenant API Key Management,TAKM,Design API key lifecycle for programmatic tenant access including rotation and revocation,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-api-key-management.md,"api,key,security,rotation,tenant"
bam,bmad-bam-tenant-backup-restore,Tenant Backup and Restore,TBR,Design tenant-specific backup and restore procedures including point-in-time recovery,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-backup-design.md,"backup,restore,recovery,tenant,disaster"
bam,bmad-bam-tenant-data-anonymization,Tenant Data Anonymization,TDAN,Design data anonymization and pseudonymization for tenant data including GDPR compliance,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,data-anonymization-design.md,"anonymization,privacy,gdpr,pii,compliance"
bam,bmad-bam-tenant-feature-rollout,Tenant Feature Rollout,TFR,Design tenant-specific feature rollout strategies including canary releases and feature flags,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,feature-rollout-design.md,"feature,rollout,canary,flags,deployment"
bam,bmad-bam-tenant-health-monitoring,Tenant Health Monitoring,THM,Design tenant-specific health monitoring including per-tenant SLIs and health dashboards,run,,3-solutioning,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts,tenant-health-monitoring-design.md,"health,monitoring,sli,dashboard,tenant"
bam,bmad-bam-tenant-hierarchy-design,Tenant Hierarchy Design,THD,Design enterprise multi-BU/department tenant structure with permission inheritance and billing rollup,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-hierarchy-design.md,"hierarchy,enterprise,bu,permission,billing"
bam,bmad-bam-tenant-sandbox-provisioning,Tenant Sandbox Provisioning,TSP,Design sandbox environment provisioning for tenant testing and development,run,,3-solutioning,bmad-bam-tenant-onboarding-design,,false,{output_folder}/planning-artifacts,sandbox-provisioning-design.md,"sandbox,provisioning,testing,development,tenant"
bam,bmad-bam-tenant-sla-monitoring,Tenant SLA Monitoring,TSLAM,Design SLA monitoring and compliance tracking per tenant including breach alerting,run,,3-solutioning,bmad-bam-tenant-health-monitoring,,false,{output_folder}/planning-artifacts,sla-monitoring-design.md,"sla,monitoring,compliance,alerting,tenant"
bam,bmad-bam-prompt-versioning-management,Prompt Versioning Management,PVM,Design prompt versioning A/B testing and rollback strategies for AI agents,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,prompt-versioning-design.md,"prompt,versioning,testing,rollback,ai"
bam,bmad-bam-rag-pipeline-design,RAG Pipeline Design,RPD,Design retrieval-augmented generation architecture including chunking embeddings and retrieval optimization,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,rag-pipeline-design.md,"rag,retrieval,embeddings,chunking,ai"
bam,bmad-bam-llm-evaluation-pipeline,LLM Evaluation Pipeline,LEP,Design automated LLM evaluation for CI/CD including metrics benchmarks and regression testing,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,llm-evaluation-pipeline.md,"llm,evaluation,testing,metrics,ci"
bam,bmad-bam-agent-handoff-design,Agent Handoff Design,AHD,Design multi-agent communication and handoff protocols with state sharing and recovery patterns,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,agent-handoff-design.md,"agent,handoff,multi-agent,communication,orchestration"
bam,bmad-bam-tenant-audit-log-design,Tenant Audit Log Design,TALD,Design tenant-scoped audit trail architecture for compliance and security,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-audit-log-design.md,"audit,compliance,security,logging,tenant"
bam,bmad-bam-penetration-testing-design,Penetration Testing Design,PTD,Design security penetration testing procedures for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,penetration-testing-design.md,"security,penetration,testing,vulnerability,audit"
bam,bmad-bam-soc2-evidence-collection,SOC2 Evidence Collection,SEC,Design SOC2 audit evidence automation for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,soc2-evidence-collection.md,"soc2,compliance,audit,evidence,automation"
bam,bmad-bam-tenant-capacity-planning,Tenant Capacity Planning,TCP,Design capacity forecasting and resource planning per tenant,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-capacity-planning.md,"capacity,planning,scaling,resources,tenant"
bam,bmad-bam-tenant-cost-attribution,Tenant Cost Attribution,TCA,Design cost allocation and chargeback for multi-tenant platforms,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-cost-attribution.md,"cost,billing,chargeback,allocation,tenant"
bam,bmad-bam-llm-gateway-configuration,LLM Gateway Configuration,LGC,Design LLM provider routing fallback chains and cost optimization,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,llm-gateway-configuration.md,"llm,gateway,routing,provider,ai"
bam,bmad-bam-model-fine-tuning-design,Model Fine-tuning Design,MFT,Design tenant-specific model fine-tuning pipeline,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,model-fine-tuning-spec.md,"fine-tuning,model,training,ai,llm"
bam,bmad-bam-model-deployment-pipeline,Model Deployment Pipeline,MDP,Design model deployment and release pipeline,run,,3-solutioning,bmad-bam-model-fine-tuning-design,,false,{output_folder}/planning-artifacts,model-deployment-spec.md,"deployment,model,release,rollout,ai"
bam,bmad-bam-tenant-analytics-dashboard,Tenant Analytics Dashboard,TAD,Design multi-tenant analytics dashboard,run,,6-operations,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts,analytics-dashboard-spec.md,"analytics,dashboard,reporting,metrics,visualization"
bam,bmad-bam-tenant-notification-system,Tenant Notification System,TNS,Design multi-tenant notification and communication system,run,,6-operations,,,false,{output_folder}/planning-artifacts,notification-system-spec.md,"notification,email,communication,alerts,messaging"
bam,bmad-bam-tenant-billing-integration,Tenant Billing Integration,TBI,Design billing system integration for tenants,run,,6-operations,bmad-bam-usage-metering-design,,false,{output_folder}/planning-artifacts,billing-integration-spec.md,"billing,payment,subscription,pricing,revenue"
bam,bmad-bam-prompt-catalog-design,Prompt Catalog Design,PCD,Design multi-tenant prompt library and catalog,run,,3-solutioning,bmad-bam-prompt-versioning-management,,false,{output_folder}/planning-artifacts,prompt-catalog-spec.md,"prompt,catalog,library,templates,llm"
bam,bmad-bam-vector-database-design,Vector Database Design,VDD,Design tenant-isolated vector storage for RAG systems,run,,3-solutioning,bmad-bam-rag-pipeline-design,,false,{output_folder}/planning-artifacts/architecture,vector-database-design.md,"vector,database,rag,embeddings,storage"
bam,bmad-bam-embedding-strategy-design,Embedding Strategy Design,ESD,Design embedding models and tenant isolation for vector search,run,,3-solutioning,bmad-bam-vector-database-design,,false,{output_folder}/planning-artifacts/architecture,embedding-strategy-design.md,"embedding,models,vectors,dimensions,optimization"
bam,bmad-bam-agent-memory-optimization,Agent Memory Optimization,AMO,Design memory tier optimization for AI agents,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,agent-memory-optimization.md,"memory,optimization,eviction,quotas,tiers"
bam,bmad-bam-rate-limiting-design,Rate Limiting Design,RLD,Design per-tenant rate limiting with tier-based quotas and enforcement,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/operations,rate-limiting-runbook.md,"rate,limiting,throttle,quota,traffic"
bam,bmad-bam-api-throttling-design,API Throttling Design,ATD,Design API throttling with sliding window and burst handling,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/operations,api-throttling-design.md,"api,throttling,burst,sliding,window"
bam,bmad-bam-tenant-sso-integration,Tenant SSO Integration,TSSO,Design enterprise SSO with SAML OIDC and IdP provisioning,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/security,tenant-sso-integration.md,"sso,saml,oidc,authentication,enterprise"
bam,bmad-bam-webhook-management-design,Webhook Management Design,WMD,Design tenant webhook delivery with retry and security,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/integration,webhook-management-spec.md,"webhook,delivery,retry,events,integration"
bam,bmad-bam-data-retention-policy-design,Data Retention Policy Design,DRPD,Design GDPR-compliant data retention with archival and deletion,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts/compliance,data-retention-policy.md,"retention,gdpr,archival,deletion,compliance"
bam,bmad-bam-ai-guardrails-implementation,AI Guardrails Implementation,AGI,Design AI content filtering and output validation guardrails,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-guardrails-design.md,"guardrails,safety,filtering,validation,ai"
bam,bmad-bam-ai-ab-testing-design,AI A/B Testing Design,AABT,Design A/B testing framework for AI models and prompts,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-ab-testing-design.md,"ab-testing,experiments,prompts,models,ai"
bam,bmad-bam-ai-cost-tracking,AI Cost Tracking,ACT,Design per-tenant AI token and compute cost tracking,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-cost-tracking-design.md,"cost,tokens,billing,metering,ai"
bam,bmad-bam-ai-fallback-chains,AI Fallback Chains,AFC,Design multi-provider fallback with quality thresholds,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-fallback-chains-design.md,"fallback,providers,resilience,failover,ai"
bam,bmad-bam-ai-model-registry,AI Model Registry,AMR,Design centralized model registry with versioning,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-model-registry-design.md,"registry,versioning,models,mlops,ai"
bam,bmad-bam-ai-feedback-loop,AI Feedback Loop,AFL,Design user feedback collection and model improvement,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-feedback-loop-design.md,"feedback,rlhf,improvement,quality,ai"
bam,bmad-bam-ai-context-management,AI Context Management,ACM,Design context window optimization,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-context-management-design.md,"context,tokens,optimization,window,ai"
bam,bmad-bam-ai-streaming-design,AI Streaming Design,ASD,Design real-time streaming response architecture,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-streaming-design.md,"streaming,realtime,sse,websocket,ai"
bam,bmad-bam-ai-batch-inference,AI Batch Inference,ABI,Design batch inference pipeline for high-volume processing,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/architecture,ai-batch-inference-design.md,"batch,inference,queue,processing,ai"
bam,bmad-bam-cost-optimization-strategy,Cost Optimization Strategy,COS,Design cost optimization recommendations with FinOps practices,run,,6-operations,bmad-bam-tenant-cost-attribution,,false,{output_folder}/planning-artifacts/operations,cost-optimization-strategy.md,"cost,finops,optimization,savings,cloud"
bam,bmad-bam-change-management-process,Change Management Process,CMP,Design change management with tenant impact assessment,run,,6-operations,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/operations,change-management-process.md,"change,management,itil,approval,governance"
bam,bmad-bam-chaos-engineering-design,Chaos Engineering Design,CED,Design chaos engineering practices for multi-tenant resilience,run,,6-operations,bmad-bam-disaster-recovery-design,,false,{output_folder}/planning-artifacts/operations,chaos-engineering-design.md,"chaos,resilience,testing,experiments,failures"
bam,bmad-bam-runbook-automation,Runbook Automation,RBA,Design automated runbook execution for operational procedures,run,,6-operations,bmad-bam-tenant-incident-response,,false,{output_folder}/planning-artifacts/operations,runbook-automation-design.md,"runbook,automation,sre,toil,procedures"
bam,bmad-bam-maintenance-window-design,Maintenance Window Design,MWD,Design maintenance window scheduling with tenant coordination,run,,6-operations,bmad-bam-tenant-sla-monitoring,,false,{output_folder}/planning-artifacts/operations,maintenance-window-design.md,"maintenance,scheduling,downtime,sla,windows"
bam,bmad-bam-performance-baseline,Performance Baseline,PBL,Design performance baseline establishment and benchmarking,run,,6-operations,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts/operations,performance-baseline-design.md,"performance,baseline,benchmark,metrics,slo"
bam,bmad-bam-log-aggregation-design,Log Aggregation Design,LAD,Design centralized log aggregation with tenant isolation,run,,6-operations,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts/operations,log-aggregation-design.md,"logging,aggregation,search,retention,observability"
bam,bmad-bam-on-call-rotation,On-Call Rotation,OCR,Design on-call rotation and escalation procedures,run,,6-operations,bmad-bam-tenant-incident-response,,false,{output_folder}/planning-artifacts/operations,on-call-rotation-design.md,"oncall,rotation,escalation,pagerduty,sre"
bam,bmad-bam-invoice-generation,Invoice Generation,INVG,Design automated invoice generation pipeline with PDF and delivery,run,,3-solutioning,bmad-bam-usage-metering-design,,false,{output_folder}/planning-artifacts/billing,invoice-generation-design.md,"invoice,billing,pdf,automation,payment"
bam,bmad-bam-payment-processing,Payment Processing,PPRC,Design payment gateway integration with Stripe/Braintree,run,,3-solutioning,bmad-bam-invoice-generation,,false,{output_folder}/planning-artifacts/billing,payment-processing-design.md,"payment,stripe,gateway,transaction,billing"
bam,bmad-bam-revenue-recognition,Revenue Recognition,REVR,Design ASC 606 compliant revenue recognition system,run,,3-solutioning,bmad-bam-payment-processing,,false,{output_folder}/planning-artifacts/billing,revenue-recognition-design.md,"revenue,asc606,accounting,compliance,recognition"
bam,bmad-bam-pricing-tier-configuration,Pricing Tier Configuration,PRTC,Design dynamic pricing tier configuration with feature gating,run,,3-solutioning,bmad-bam-usage-metering-design,,false,{output_folder}/planning-artifacts/billing,pricing-tier-design.md,"pricing,tiers,features,entitlements,billing"
