module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs,keywords
bam,bmad-bam-usage-alerts-design,Usage Alerts Design,USAD,Design usage threshold alerts and notification system,run,,3-solutioning,bmad-bam-usage-metering-design,,false,{output_folder}/planning-artifacts/billing,usage-alerts-design.md,"alerts,notifications,thresholds,usage,billing"
bam,bmad-bam-credit-management,Credit Management,CRMG,Design credit and prepaid balance management system,run,,3-solutioning,bmad-bam-invoice-generation,,false,{output_folder}/planning-artifacts/billing,credit-management-design.md,"credit,prepaid,balance,promotional,billing"
bam,bmad-bam-refund-processing,Refund Processing,REFP,Design refund workflow with audit trail and approval,run,,3-solutioning,bmad-bam-payment-processing,,false,{output_folder}/planning-artifacts/billing,refund-processing-design.md,"refund,reversal,approval,audit,billing"
bam,bmad-bam-billing-disputes,Billing Disputes,BLDP,Design billing dispute resolution workflow with chargeback defense,run,,3-solutioning,bmad-bam-refund-processing,,false,{output_folder}/planning-artifacts/billing,billing-disputes-design.md,"dispute,chargeback,resolution,investigation,billing"
bam,bmad-bam-tenant-health-scoring,Tenant Health Scoring,THS,Design tenant health scoring algorithm with weighted metrics and composite scores,run,,3-solutioning,bmad-bam-tenant-health-monitoring,,false,{output_folder}/planning-artifacts/analytics,tenant-health-scoring-design.md,"health,scoring,algorithm,metrics,tenant"
bam,bmad-bam-churn-prediction,Churn Prediction,CPR,Design churn prediction model with leading indicators and intervention strategies,run,,3-solutioning,bmad-bam-tenant-health-scoring,,false,{output_folder}/planning-artifacts/analytics,churn-prediction-design.md,"churn,prediction,retention,model,analytics"
bam,bmad-bam-ai-usage-analytics,AI Usage Analytics,AUA,Design AI-specific analytics including token usage latency and cost attribution,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/analytics,ai-usage-analytics-design.md,"ai,tokens,latency,analytics,llm"
bam,bmad-bam-usage-forecasting,Usage Forecasting,UFO,Design usage forecasting models for capacity planning and demand prediction,run,,3-solutioning,bmad-bam-usage-metering-design,,false,{output_folder}/planning-artifacts/analytics,usage-forecasting-design.md,"forecasting,capacity,prediction,planning,analytics"
bam,bmad-bam-cohort-analysis,Cohort Analysis,COA,Design cohort analysis for tenant segmentation and retention curves,run,,3-solutioning,bmad-bam-tenant-health-scoring,,false,{output_folder}/planning-artifacts/analytics,cohort-analysis-design.md,"cohort,segmentation,retention,analysis,analytics"
bam,bmad-bam-feature-adoption-tracking,Feature Adoption Tracking,FAT,Design feature adoption analytics with activation funnels and usage patterns,run,,3-solutioning,bmad-bam-product-analytics-instrumentation,,false,{output_folder}/planning-artifacts/analytics,feature-adoption-tracking-design.md,"feature,adoption,funnel,tracking,analytics"
bam,bmad-bam-customer-journey-analytics,Customer Journey Analytics,CJA,Design customer journey tracking with touchpoint analysis and conversion optimization,run,,3-solutioning,bmad-bam-product-analytics-instrumentation,,false,{output_folder}/planning-artifacts/analytics,customer-journey-analytics-design.md,"journey,touchpoint,conversion,customer,analytics"
bam,bmad-bam-product-analytics-instrumentation,Product Analytics Instrumentation,PAI,Design product analytics event schema tracking plan and data governance,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/analytics,product-analytics-instrumentation-design.md,"analytics,events,tracking,instrumentation,schema"
bam,bmad-bam-tenant-trial-conversion,Tenant Trial Conversion,TTC,Design trial-to-paid conversion workflows with engagement tracking,run,,3-solutioning,bmad-bam-tenant-onboarding-design,,false,{output_folder}/planning-artifacts/operations,trial-conversion-design.md,"trial,conversion,engagement,growth,funnel"
bam,bmad-bam-tenant-self-service-upgrade,Tenant Self-Service Upgrade,TSSU,Design self-service tier upgrade workflows with payment integration,run,,3-solutioning,bmad-bam-tenant-tier-migration,,false,{output_folder}/planning-artifacts/operations,self-service-upgrade-design.md,"self-service,upgrade,payment,provisioning,tier"
bam,bmad-bam-tenant-reactivation-design,Tenant Reactivation Design,TRD,Design tenant reactivation workflows after suspension or churn,run,,3-solutioning,bmad-bam-tenant-suspension-design,,false,{output_folder}/planning-artifacts/operations,tenant-reactivation-design.md,"reactivation,suspension,recovery,win-back,restoration"
bam,bmad-bam-tenant-contract-renewal,Tenant Contract Renewal,TCR,Design contract renewal automation with pricing updates,run,,3-solutioning,bmad-bam-tenant-billing-integration,,false,{output_folder}/planning-artifacts/operations,contract-renewal-design.md,"renewal,contract,subscription,pricing,automation"
bam,bmad-bam-tenant-merge-acquisition,Tenant Merge Acquisition,TMA,Design tenant consolidation workflows for M&A scenarios,run,,3-solutioning,bmad-bam-tenant-hierarchy-design,,false,{output_folder}/planning-artifacts/operations,tenant-merge-acquisition-design.md,"merge,acquisition,consolidation,migration,enterprise"
bam,bmad-bam-vulnerability-management,Vulnerability Management,VULM,Design vulnerability scanning and remediation processes for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,vulnerability-management-plan.md,"vulnerability,scanning,remediation,security,cvss"
bam,bmad-bam-security-incident-response,Security Incident Response,SINC,Design security-specific incident response procedures for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-tenant-incident-response,,false,{output_folder}/planning-artifacts,security-incident-response-plan.md,"incident,response,breach,forensics,security"
bam,bmad-bam-secrets-management,Secrets Management,SECM,Design secrets rotation and vault integration for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,secrets-management-plan.md,"secrets,vault,rotation,credentials,kms"
bam,bmad-bam-threat-modeling,Threat Modeling,THRM,Design threat modeling processes for multi-tenant AI platforms using STRIDE methodology,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,threat-model.md,"threat,modeling,stride,risk,attack-surface"
bam,bmad-bam-data-encryption-design,Data Encryption Design,DENC,Design encryption at rest and in transit with tenant-specific keys,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,data-encryption-design.md,"encryption,kms,tenant-keys,cryptography,tls"
bam,bmad-bam-zero-trust-architecture,Zero Trust Architecture,ZTRS,Design zero-trust network and identity architecture for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,zero-trust-architecture.md,"zero-trust,identity,microsegmentation,network,verification"
bam,bmad-bam-ddos-protection-design,DDoS Protection Design,DDOS,Design DDoS mitigation strategies for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,ddos-protection-design.md,"ddos,protection,mitigation,waf,rate-limiting"
bam,bmad-bam-security-baseline-config,Security Baseline Config,SBCF,Design security configuration baselines aligned with CIS benchmarks,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts,security-baseline-config.md,"baseline,hardening,cis,configuration,compliance"
bam,bmad-bam-sdk-generation,SDK Generation Pipeline,SDKG,Generate SDKs for multiple programming languages from OpenAPI spec,run,,4-implementation,bmad-bam-api-version-release,,false,{output_folder}/planning-artifacts/sdk,sdk-generation-config.md,"sdk,codegen,openapi,client,libraries"
bam,bmad-bam-api-deprecation-strategy,API Deprecation Strategy,ADS,Design API deprecation lifecycle with sunset dates and migration support,run,,3-solutioning,bmad-bam-api-version-release,,false,{output_folder}/planning-artifacts/api,deprecation-strategy.md,"deprecation,sunset,migration,api,lifecycle"
bam,bmad-bam-api-gateway-design,API Gateway Design,AGD,Design API gateway configuration with rate limiting authentication and routing,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/gateway,api-gateway-design.md,"gateway,routing,rate-limiting,authentication,api"
bam,bmad-bam-event-streaming-design,Event Streaming Design,EVSD,Design event streaming architecture with Kafka or EventBridge,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/streaming,event-streaming-design.md,"kafka,events,streaming,eventbridge,pubsub"
bam,bmad-bam-partner-integration-framework,Partner Integration Framework,PIF,Design partner and ISV integration framework with sandbox environments,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/partners,partner-framework.md,"partner,isv,ecosystem,sandbox,certification"
bam,bmad-bam-marketplace-design,Marketplace Design,MKD,Design marketplace for tenant add-ons and integrations,run,,3-solutioning,bmad-bam-partner-integration-framework,,false,{output_folder}/planning-artifacts/marketplace,marketplace-design.md,"marketplace,apps,store,discovery,billing"
bam,bmad-bam-oauth-provider-design,OAuth Provider Design,OPD,Design OAuth2 provider implementation for third-party authorization,run,,3-solutioning,bmad-bam-tenant-sso-integration,,false,{output_folder}/planning-artifacts/security,oauth-provider-design.md,"oauth,authorization,tokens,scopes,security"
bam,bmad-bam-graphql-design,GraphQL API Design,GQL,Design GraphQL API layer with schema federation and tenant context,run,,3-solutioning,bmad-bam-api-gateway-design,,false,{output_folder}/planning-artifacts/graphql,graphql-design.md,"graphql,federation,schema,api,resolvers"
bam,bmad-bam-hipaa-compliance-design,HIPAA Compliance Design,HCD,Design HIPAA controls and BAA management for healthcare data protection,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,hipaa-compliance-spec.md,"hipaa,phi,healthcare,baa,compliance"
bam,bmad-bam-pci-dss-compliance,PCI-DSS Compliance,PCID,Design PCI-DSS compliance for payment data handling and cardholder protection,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,pci-dss-compliance-spec.md,"pci-dss,payment,cardholder,cde,compliance"
bam,bmad-bam-gdpr-consent-management,GDPR Consent Management,GCM,Design GDPR consent collection tracking and preference management,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,gdpr-consent-management-spec.md,"gdpr,consent,privacy,lawful-basis,compliance"
bam,bmad-bam-right-to-deletion,Right to Deletion,RTD,Design GDPR Article 17 right to erasure procedures for deletion requests,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,right-to-deletion-spec.md,"gdpr,deletion,erasure,article-17,compliance"
bam,bmad-bam-audit-readiness-preparation,Audit Readiness Preparation,ARP,Design audit preparation procedures including evidence collection and testing,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,audit-readiness-spec.md,"audit,evidence,testing,readiness,compliance"
bam,bmad-bam-privacy-impact-assessment,Privacy Impact Assessment,PIA,Design PIA/DPIA process for data protection impact assessments,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,privacy-impact-assessment-spec.md,"dpia,pia,privacy,risk,assessment"
bam,bmad-bam-compliance-training-tracking,Compliance Training Tracking,CTT,Design compliance training requirements tracking and reporting,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts,compliance-training-tracking-spec.md,"training,awareness,curriculum,tracking,compliance"
bam,bmad-bam-post-deployment-verification,Post-Deployment Verification,PDV,Execute post-deployment smoke tests and tenant health verification,run,,6-operations,bmad-bam-convergence-verification,,false,{output_folder}/operations-artifacts,post-deployment-report.md,"deployment,verification,smoke-tests,health,monitoring"
bam,bmad-bam-security-audit-execution,Security Audit Execution,SAE,Execute quarterly security audit with compliance verification,run,,6-operations,,,false,{output_folder}/operations-artifacts,security-audit-report.md,"security,audit,compliance,quarterly,assessment"
bam,bmad-bam-disaster-recovery-drill,Disaster Recovery Drill,DRD,Execute DR drill with failover testing and RTO/RPO verification,run,,6-operations,,,false,{output_folder}/operations-artifacts,dr-drill-report.md,"disaster-recovery,drill,failover,rto,rpo"
bam,bmad-bam-security-operations,Security Operations,SECOPS,Set up security operations with threat detection and correlation rules,run,,6-operations,,,false,{output_folder}/operations-artifacts,security-operations-spec.md,"security,operations,threat,detection,correlation"
bam,bmad-bam-model-validation,Model Validation,MV,Validate AI model release with tenant rollout and rollback testing,run,,6-operations,bmad-bam-agent-runtime-architecture,,false,{output_folder}/operations-artifacts,model-validation-report.md,"model,validation,rollout,rollback,ai"
bam,bmad-bam-database-migration-pipeline,Database Migration Pipeline,DMP,Execute database migration with data validation and rollback,run,,6-operations,,,false,{output_folder}/operations-artifacts,migration-report.md,"database,migration,rollback,data,validation"
bam,bmad-bam-incident-response-operations,Incident Response Operations,IRO,Execute incident response with classification and postmortem,run,,6-operations,,,false,{output_folder}/operations-artifacts,incident-report.md,"incident,response,postmortem,classification,mitigation"
bam,bmad-bam-performance-review-execution,Performance Review Execution,PRE,Execute performance review with SLA verification and capacity assessment,run,,6-operations,,,false,{output_folder}/operations-artifacts,performance-review-report.md,"performance,review,sla,capacity,assessment"
bam,bmad-bam-capacity-planning-review,Capacity Planning Review,CPLR,Execute capacity planning review with growth projection and scaling thresholds,run,,6-operations,,,false,{output_folder}/operations-artifacts,capacity-planning-report.md,"capacity,planning,growth,scaling,resources"
bam,bmad-bam-cost-optimization-review,Cost Optimization Review,COR,Execute cost optimization review with tenant attribution and budget alerts,run,,6-operations,,,false,{output_folder}/operations-artifacts,cost-optimization-report.md,"cost,optimization,budget,attribution,efficiency"
bam,bmad-bam-continuous-security-setup,Continuous Security Setup,CSS,Set up continuous security monitoring with compliance automation,run,,6-operations,,,false,{output_folder}/operations-artifacts,continuous-security-spec.md,"security,continuous,compliance,monitoring,automation"
bam,bmad-bam-ai-observability-setup,AI Observability Setup,AOS,Set up AI observability with LLM metrics and token tracking,run,,6-operations,bmad-bam-agent-runtime-architecture,,false,{output_folder}/operations-artifacts,ai-observability-spec.md,"ai,observability,llm,metrics,monitoring"
bam,bmad-bam-rbac-abac-design,RBAC ABAC Design,RBAC,Design role-based and attribute-based access control,run,,3-solutioning,bmad-bam-security-review,,false,{output_folder}/planning-artifacts/security,rbac-abac-design.md,"rbac,abac,access-control,authorization,permissions"
bam,bmad-bam-pii-detection-redaction,PII Detection Redaction,PIDR,Design PII detection and redaction pipeline,run,,3-solutioning,bmad-bam-compliance-design,,false,{output_folder}/planning-artifacts/compliance,pii-detection-redaction.md,"pii,privacy,redaction,detection,gdpr"
bam,bmad-bam-cicd-pipeline-design,CICD Pipeline Design,CICD,Design CI/CD pipeline for multi-tenant deployments,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/devops,cicd-pipeline-design.md,"cicd,deployment,pipeline,automation,devops"
bam,bmad-bam-distributed-tracing-design,Distributed Tracing Design,DTD,Design distributed tracing for microservices,run,,3-solutioning,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts/observability,distributed-tracing-design.md,"tracing,observability,microservices,spans,telemetry"
bam,bmad-bam-sli-slo-definition,SLI SLO Definition,SLSD,Define Service Level Indicators and Objectives,run,,3-solutioning,bmad-bam-tenant-aware-observability,,false,{output_folder}/planning-artifacts/operations,sli-slo-definition.md,"sli,slo,reliability,metrics,sre"
bam,bmad-bam-api-documentation-automation,API Documentation Automation,ADOC,Design automated API documentation pipeline,run,,3-solutioning,bmad-bam-api-version-release,,false,{output_folder}/planning-artifacts/api,api-documentation-automation.md,"api,documentation,openapi,automation,swagger"
bam,bmad-bam-ai-model-security,AI Model Security,AIMS,Design security controls for AI model lifecycle,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/security,ai-model-security.md,"ai,security,model,lifecycle,mlops"
bam,bmad-bam-ai-bias-monitoring,AI Bias Monitoring,AIBM,Design bias detection and fairness monitoring,run,,3-solutioning,bmad-bam-ai-eval-safety-design,,false,{output_folder}/planning-artifacts/ai,ai-bias-monitoring.md,"bias,fairness,monitoring,ai,ethics"
bam,bmad-bam-golden-dataset-management,Golden Dataset Management,GDSM,Design golden dataset lifecycle for AI evaluation,run,,3-solutioning,bmad-bam-llm-evaluation-pipeline,,false,{output_folder}/planning-artifacts/ai,golden-dataset-management.md,"dataset,evaluation,golden,testing,ai"
bam,bmad-bam-openapi-spec-management,OpenAPI Spec Management,OASM,Design OpenAPI specification lifecycle,run,,3-solutioning,bmad-bam-api-version-release,,false,{output_folder}/planning-artifacts/api,openapi-spec-management.md,"openapi,api,specification,versioning,lifecycle"
bam,bmad-bam-etl-pipeline-design,ETL Pipeline Design,ETLD,Design ETL pipelines for multi-tenant data,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/data,etl-pipeline-design.md,"etl,data,pipeline,transformation,extraction"
bam,bmad-bam-tenant-white-labeling-design,Tenant White-Labeling Design,TWLD,Design white-labeling and branding per tenant,run,,3-solutioning,bmad-bam-tenant-portal-design,,false,{output_folder}/planning-artifacts/tenant,tenant-white-labeling-design.md,"branding,white-label,theming,tenant,customization"
bam,bmad-bam-tenant-custom-domain-design,Tenant Custom Domain Design,TCDD,Design custom domain routing per tenant,run,,3-solutioning,bmad-bam-tenant-portal-design,,false,{output_folder}/planning-artifacts/tenant,tenant-custom-domain-design.md,"domain,routing,dns,tenant,customization"
bam,bmad-bam-tenant-network-isolation-design,Tenant Network Isolation Design,TNID,Design network-level tenant isolation,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/security,tenant-network-isolation-design.md,"network,isolation,vpc,tenant,security"
bam,bmad-bam-auto-scaling-configuration,Auto-Scaling Configuration,ASCF,Design auto-scaling for multi-tenant workloads,run,,3-solutioning,bmad-bam-tenant-capacity-planning,,false,{output_folder}/planning-artifacts/operations,auto-scaling-configuration.md,"scaling,autoscaling,capacity,workload,elasticity"
bam,bmad-bam-service-mesh-configuration,Service Mesh Configuration,SMCF,Design service mesh for microservices,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/infrastructure,service-mesh-configuration.md,"mesh,istio,microservices,traffic,networking"
bam,bmad-bam-postmortem-process,Postmortem Process,PMPR,Design incident post-mortem process,run,,6-operations,bmad-bam-tenant-incident-response,,false,{output_folder}/planning-artifacts/operations,postmortem-process.md,"postmortem,incident,blameless,review,sre"
bam,bmad-bam-data-synchronization-design,Data Synchronization Design,DSYN,Design data synchronization patterns,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/data,data-synchronization-design.md,"sync,replication,consistency,data,cdc"
bam,bmad-bam-sla-contract-design,SLA Contract Design,SLAC,Design SLA tiers with breach thresholds and penalty structures,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/operations,sla-contract-design.md,"sla,contract,uptime,penalty,breach"
bam,bmad-bam-cross-region-failover-execution,Cross-Region Failover Execution,CRFE,Execute cross-region failover procedures during DR events,run,,4-implementation,bmad-bam-disaster-recovery-design,,false,{output_folder}/planning-artifacts/operations,failover-execution-report.md,"failover,dr,disaster,recovery,execution"
bam,bmad-bam-ai-model-deprecation,AI Model Deprecation,AIMD,Plan AI model sunset and migration for multi-tenant platforms,run,,6-operations,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts/ai,ai-model-deprecation-plan.md,"model,deprecation,migration,sunset,ai"
bam,bmad-bam-tenant-communication-design,Tenant Communication Design,TCMD,Design tenant notification templates and communication workflows,run,,6-operations,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts/tenant,tenant-communication-design.md,"notification,communication,email,template,messaging"
bam,bmad-bam-stakeholder-discovery,Stakeholder Discovery,STKD,Discover and document key stakeholders for platform initiatives,run,,1-discovery,,,false,{output_folder}/planning-artifacts/discovery,stakeholder-discovery.md,"stakeholder,discovery,raci,communication,planning"
bam,bmad-bam-partner-certification-workflow,Partner Certification Workflow,PCWF,Design ISV/partner certification program for platform ecosystem,run,,3-solutioning,create-master-architecture,,false,{output_folder}/planning-artifacts/partner,partner-certification-design.md,"partner,certification,isv,ecosystem,program"
bam,bmad-bam-tenant-self-service-reporting,Tenant Self-Service Reporting,TSSR,Design tenant self-service custom reporting capabilities,run,,6-operations,bmad-bam-tenant-analytics-dashboard,,false,{output_folder}/planning-artifacts/analytics,self-service-reporting-design.md,"reporting,self-service,analytics,dashboard,custom"
bam,bmad-bam-data-reconciliation-dr,Data Reconciliation DR,DRCD,Validate data integrity and reconciliation after DR failover,run,,4-implementation,bmad-bam-disaster-recovery-design,,false,{output_folder}/planning-artifacts/operations,data-reconciliation-report.md,"reconciliation,dr,validation,integrity,failover"
bam,quality-assurance-review,Quality Assurance Review,QAR,Comprehensive QA review for multi-tenant SaaS platforms consolidating all quality gates,run,,5-quality,bmad-bam-convergence-verification,,true,{output_folder}/quality-artifacts,qa-review-report.md,"quality,qa,review,gate,assessment"
bam,quality-metrics-dashboard,Quality Metrics Dashboard,QMD,Design quality metrics dashboard for multi-tenant SaaS monitoring,run,,5-quality,quality-assurance-review,,false,{output_folder}/quality-artifacts,quality-dashboard-spec.md,"quality,metrics,dashboard,monitoring,visualization"
bam,quality-gate-automation,Quality Gate Automation,QGA,Automate quality gate validation in CI/CD pipelines,run,,5-quality,quality-metrics-dashboard,,false,{output_folder}/quality-artifacts,gate-automation-spec.md,"quality,automation,cicd,gate,pipeline"
bam,bmad-bam-agent-safety,Agent Safety Validation,ASV,Validate AI agent safety controls guardrails and kill switch functionality,run,,5-quality,bmad-bam-agent-runtime-architecture,,false,{output_folder}/quality-artifacts,agent-safety-report.md,"agent,safety,guardrails,killswitch,validation"
bam,bmad-bam-compliance-verification,Compliance Verification,CMPV,Verify multi-tenant AI platform compliance with regulatory frameworks SOC2 GDPR HIPAA,run,,5-quality,bmad-bam-compliance-design,,false,{output_folder}/quality-artifacts,compliance-verification-report.md,"compliance,verification,soc2,gdpr,hipaa"
bam,bmad-bam-data-protection,Data Protection Verification,DPRT,Verify data protection controls including encryption isolation and privacy,run,,5-quality,bmad-bam-security-review,,false,{output_folder}/quality-artifacts,data-protection-report.md,"data,protection,encryption,privacy,isolation"
bam,bmad-bam-production-readiness,Production Readiness,PRRD,Comprehensive production readiness assessment for multi-tenant AI platforms,run,,5-quality,bmad-bam-convergence-verification,,true,{output_folder}/quality-artifacts,production-readiness-report.md,"production,readiness,golive,assessment,launch"
bam,bmad-bam-runbook-creation,Runbook Creation,RBCR,Create comprehensive operational runbooks for multi-tenant AI platform operations,run,,6-operations,bmad-bam-tenant-incident-response,,false,{output_folder}/operations-artifacts,runbook-collection.md,"runbook,operations,incident,documentation,procedures"
bam,bmad-bam-security-operations-verification,Security Operations Verification,SECV,Verify security operations readiness for multi-tenant AI platforms,run,,5-quality,bmad-bam-security-review,,false,{output_folder}/quality-artifacts,security-operations-report.md,"security,operations,secops,verification,readiness"
bam,bmad-bam-tenant-safety,Tenant Safety Verification,TSFV,Verify tenant safety controls and isolation for multi-tenant AI platforms,run,,5-quality,bmad-bam-tenant-model-isolation,,false,{output_folder}/quality-artifacts,tenant-safety-report.md,"tenant,safety,isolation,verification,security"
bam,bmad-bam-ai-security,AI Security Audit,AISEC,Comprehensive security audit for AI/LLM systems including model security and inference protection,run,,5-quality,bmad-bam-agent-runtime-architecture,,false,{output_folder}/quality-artifacts,ai-security-audit-report.md,"ai,security,audit,llm,model"
bam,bmad-bam-dev-trigger,Development Trigger,DT,Pre-commit validation and quality gates for development workflow,run,,4-implementation,,,false,{output_folder}/reports,dev-gate-report.md,"dev,pre-commit,validation,quality,gate"
bam,bmad-bam-monthly-operations-trigger,Monthly Operations Trigger,MOT,Monthly capacity review and cost optimization workflows,run,,6-operations,bmad-bam-production-readiness,,false,{output_folder}/reports,monthly-ops-report.md,"operations,monthly,capacity,cost,review"
bam,bmad-bam-quarterly-operations-trigger,Quarterly Operations Trigger,QOT,Quarterly DR drills compliance audits and security reviews,run,,6-operations,bmad-bam-production-readiness,,false,{output_folder}/reports,quarterly-ops-report.md,"operations,quarterly,dr,audit,compliance"
bam,bmad-bam-agent-execution-tracing,Agent Execution Tracing,AET,Design agent execution tracing and debugging observability for multi-tenant AI platforms,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,agent-execution-tracing.md,"agent,tracing,observability,debugging,ai"
bam,bmad-bam-rag-observability-design,RAG Observability Design,ROD,Design RAG pipeline observability including retrieval metrics and quality monitoring,run,,3-solutioning,bmad-bam-rag-pipeline-design,,false,{output_folder}/planning-artifacts,rag-observability-design.md,"rag,observability,retrieval,metrics,ai"
bam,bmad-bam-tenant-fair-scheduling,Tenant Fair Scheduling,TFS,Design fair resource scheduling to prevent noisy neighbor issues,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,tenant-fair-scheduling.md,"tenant,scheduling,noisy-neighbor,fairness,resources"
